uri:/instrument/1.0/A/chartdata;type=sma;range=15d/csv
ticker:a
Company-Name:Agilent Technologies, Inc. Comm
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:42.6200
range:20150406,1428327000,1428350400
range:20150407,1428413400,1428436800
range:20150408,1428499800,1428523200
range:20150409,1428586200,1428609600
range:20150410,1428672600,1428696000
range:20150413,1428931800,1428955200
range:20150414,1429018200,1429041600
range:20150415,1429104600,1429128000
range:20150416,1429191000,1429214400
range:20150417,1429277400,1429300800
range:20150420,1429536600,1429560000
range:20150421,1429623000,1429646400
range:20150422,1429709400,1429732800
range:20150423,1429795800,1429819200
range:20150424,1429882200,1429905600
Timestamp:1428327000,1429905600
labels:1428327000,1428413400,1428499800,1428586200,1428672600,1428931800,1429018200,1429104600,1429191000,1429277400,1429536600,1429623000,1429709400,1429795800,1429882200
values:Timestamp,sma
sma:42.0138,43.4254
1428674397,42.4896
1428674699,42.4966
1428674998,42.5065
1428675298,42.5165
1428675542,42.5253
1428675887,42.5349
1428676150,42.5445
1428676447,42.5543
1428676759,42.5651
1428677053,42.5757
1428677387,42.5847
1428677670,42.5935
1428677999,42.6009
1428678289,42.6081
1428678488,42.6158
1428678848,42.6241
1428679197,42.6322
1428679482,42.6404
1428679787,42.6490
1428680077,42.6580
1428680378,42.6668
1428680698,42.6767
1428680964,42.6857
1428681289,42.6946
1428681596,42.7046
1428681897,42.7144
1428682199,42.7250
1428682387,42.7348
1428682797,42.7453
1428683097,42.7565
1428683336,42.7681
1428683642,42.7794
1428683941,42.7910
1428684296,42.8036
1428684560,42.8139
1428684848,42.8247
1428685140,42.8363
1428685493,42.8477
1428685756,42.8599
1428686098,42.8723
1428686399,42.8839
1428686697,42.8961
1428686998,42.9076
1428687299,42.9188
1428687596,42.9306
1428687843,42.9385
1428688153,42.9468
1428688446,42.9558
1428688761,42.9652
1428689097,42.9748
1428689396,42.9866
1428689655,42.9976
1428689998,43.0049
